ƒ,Entrada,Subentrada,Tipo,Acepción,Marcas,Definiciones,Clase gramatical,Primera división,Nodo básico,Nodo LexiMus,Nodo intermedio,Último nodo,,Última referencia atestiguada/Primera referencia lexicográfica académica,
692,"gaitero, ra","gaitero, ra",adj.,2,,"Perteneciente o relativo a la gaita o al gaitero. Música, tradición gaitera.",Adjetivo,Música,Modificadores,Conceptos,∅,cualidades polivalentes,,,
694,galerón,galerón,m.,1,Col. y Ven.,"Aire popular al son del cual se baila y se cantan cuartetas, seguidillas, glosas o romances.",Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
695,"gallardo, da","gallardo, da",f.,5,,Tañido de la gallarda.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,"gallardo, da","gallardo, da",f.,4,,"Especie de danza, muy airosa, de la escuela española.",Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
696,gallegada,gallegada,f.,3,,Tañido correspondiente a la gallegada.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,gallegada,gallegada,f.,2,,Cierto baile de los gallegos.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades no coreografiadas,,,
,gallipavo,gallipavo,m.,2,coloq.,gallo (|| nota falsa).,Sustantivo,Música,Producto,Conceptos,Dimensión espaciotemporal,tipos melódicos (connotaciones diastráticas o diafásicas),,"1983, España [Arrabal, Fernando: La torre herida por el rayo]",
,"gallo, llina","gallo, llina",m.,8,coloq.,"Nota falsa y chillona que emite quien canta, perora o habla.",Sustantivo,Música,Producto,Conceptos,Dimensión espaciotemporal,tipos melódicos (connotaciones diastráticas o diafásicas),,,
698,galop,galop,m.,2,,Música del galop.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades banalizadas,,,
,galop,galop,m.,1,,"Danza húngara, usada también en otros pueblos.",Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
,galopa,galopa,f.,1,,galop.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,"2013, Argentina [«Música misionera: en la eterna búsqueda de una identidad sonora», El Territorio, Posadas]",
700,gama2,gama2,f.,4,Mús.,Tabla o escala con que se enseña la entonación de las notas musicales.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,recursos materiales,,,
699,gama2,gama2,f.,3,Mús.,Escala musical.,Sustantivo,Música,Producto,Sonido,∅,dimensión espacial,,,
,gambeta,gambeta,f.,1,Danza.,Movimiento especial que se hace con las piernas jugándolas y cruzándolas con aire.,Sustantivo,Baile/Danza,Actividad,Conceptos,movimientos y posiciones,¿sugerencias de Diana?,,,
,gambetear,gambetear,intr.,1,,Hacer gambetas.,Verbo,Baile/Danza,Actividad,Conceptos,[evento],¿verbos de baile y danza? (Diana),,,
,gambeteo,gambeteo,m.,1,,Acción y efecto de gambetear.,Sustantivo,Música,Producto/actividad,Conceptos,Continentes/[resultados],unidades/resultados,,"1992, Chile [Jodorowsky, Alejandro: Donde mejor canta un pájaro]",
,gardeliano,gardeliano,adj.,1,"Arg., Bol., Ec. y Ur.","Perteneciente o relativo a Carlos Gardel, cantante y compositor de tangos de principios del siglo XX, o a su música.",Adjetivo,Música,Modificadores,Conceptos,∅,cualidades polivalentes,,,
,gardeliano,gardeliano,adj.,2,"Arg., Bol., Ec. y Ur.",Seguidor o admirador de Carlos Gardel o de su música. U. t. c. s.,Adjetivo/Sustantivo,Música,Modificadores/actividad,Conceptos/participantes,∅/[agentes] y [experimentadores],cualidades [experimentadores]/[experimentadores],,,
,garganta,tener alguien buena garganta,loc. verb.,1,,Ejecutar mucho con la voz en el canto.,Verbo,Música,Modificadores,Conceptos,∅,cualidades instrumentistas,,,
701,garganta,garganta,f.,3,,Voz de un cantante.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
,garganta,hacerse alguien de garganta,loc. verb.,1,,"Preciarse de cantar bien, con facilidad de gorjeos y quiebros.
",Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,"1595, España [Ángeles, Fray Juan de los: Diálogos de la conquista del reino de Dios]",
702,gargantear,gargantear,intr.,2,,Cantar haciendo quiebros con la garganta.,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,"1924-1957, España [Menéndez Pidal, Ramón: Poesía juglaresca y juglares. Orígenes de las literaturas románicas]",
,garganteo,garganteo,m.,1,,Acción de gargantear (‖ hacer quiebros con la garganta).,Sustantivo,Música,Producto/actividad,Conceptos,Continentes/[resultados],unidades/resultados,,AUTORIDADES,
703,gargavero,gargavero,m.,2,,"Instrumento musical de viento, compuesto de dos flautas dulces con una sola embocadura.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
,garrotín,garrotín,m.,2,,"Palo flamenco procedente del folclore asturiano, con estrofas de cuatro versos.",Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,garrotín,garrotín,m.,1,,Baile muy popular a fines del siglo XIX.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
,garrotín,garrotín,m.,3,,Baile que se ejecuta al compás del garrotín flamenco.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
704,"gato1, ta","gato1, ta",m.,16,Arg. y Ur.,Música que acompaña al gato.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades banalizadas,,,
,"gato1, ta","gato1, ta",m.,15,Arg. y Ur.,"Baile de movimientos rápidos, de pareja suelta que suele acompañarse de coplas cuya letra coincide con las distintas figuras.",Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
705,gavilán,gavilán,m.,7,,"Composición musical popular, típica del Llano venezolano y colombiano, con ritmo de joropo y coplas alusivas a los hábitos del gavilán.",Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
706,gavota,gavota,f.,2,,Música que acompañaba a la gavota.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades banalizadas,,,
,gavota,gavota,f.,1,,"Especie de baile entre dos personas, ya desusado.",Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
,geisha,geisha,f.,1,,"En el Japón, muchacha instruida para la danza, la música y la ceremonia del té, que se contrata para animar ciertas reuniones masculinas.",Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],intérpretes,,,
707,generala,generala,f.,1,Mil.,"Toque de tambor, corneta o clarín para que las fuerzas de una guarnición o campo se pongan sobre las armas.",Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
,género,género chico,m.,1,,Clase de obras teatrales musicales de corta duración y de ambiente por lo general costumbrista o popular.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
708,gesolreút,gesolreút,m.,1,,"En la música antigua, indicación del tono que principia en el quinto grado de la escala diatónica de do y se desarrolla según los preceptos del canto llano y del canto figurado.",Sustantivo,Música,Producto,Sonido,Dimensión espacial,notas y alteraciones,,AUTORIDADES,
,gesta,cantar de gesta,m.,1,T. lit.,Poema medieval extenso en que se refieren hazañas de personajes legendarios o históricos.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
709,giga1,giga1,f.,2,,Música correspondiente a la giga.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,giga1,giga1,f.,1,,"Baile antiguo que se ejecutaba en compás de seis por ocho, con aire acelerado.",Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
710,giga1,giga1,f.,3,,Antiguo instrumento musical de cuerda.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,cordófonos,,,
,"gímnico, ca","gímnico, ca",adj.,1,,"Perteneciente o relativo a la lucha de los atletas, y a los bailesen que se imitaban estas luchas.",Adjetivo,Baile/Danza,Modificadores,Conceptos,∅,cualidades polivalentes,,,
711,ginebra1,ginebra1,f.,1,,"Instrumento grosero con que se acompaña rudamente un canto popular, que se compone de una serie de palos, tablas o huesos que, ensartados por ambas puntas y en disminución gradual, producen cierto ruido cuando se rascan con otro palo.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,idiófonos,,,
,gira,gira,f.,2,,"Serie de actuaciones sucesivas, en diferentes lugares, de una compañía teatral, de un artista, de un grupo musical, deportivo, etc.",Sustantivo,Música,Actividad,Conceptos,Continentes/[localizaciones],unidades/ubicaciones espaciotemporales,,,
,girada,girada,f.,2,Danza.,"En la danza española, movimiento que consiste en dar una vuelta sobre la punta de un pie llevando el otro al aire.",Sustantivo,Baile/Danza,Actividad,Conceptos,movimientos y posiciones,¿sugerencias de Diana?,,,
,giradiscos,giradiscos,m.,1,,Plato del tocadiscos.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,dispositivos grabación y reproducción,,,
,giradiscos,giradiscos,m.,2,,tocadiscos.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,dispositivos grabación y reproducción,,,
,giraldilla,giraldilla,f.,1,,"Baile popular de Asturias y provincias inmediatas, que se ejecuta en compás binario.",Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
,giramiento,giramiento,m.,2,Danza. desus.,girada (|| movimiento).,Sustantivo,Baile/Danza,Actividad,Conceptos,movimientos y posiciones,¿sugerencias de Diana?,,,
712,gloria,gloria,m.,13,,"Cántico o rezo de la misa en latín, que comienza con las palabras Gloria in excelsis Deo.",Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
713,glosa,glosa,f.,6,Mús.,"Variación que diestramente ejecuta el músico sobre unas mismas notas, pero sin sujetarse rigurosamente a ellas.",Sustantivo,Música,Producto,Técnica y Expresión,Dimensión espaciotemporal,ornamentos melódicos,,,
714,gong,gong,m.,1,,"Instrumento de percusión formado por un disco que, suspendido, vibra al ser golpeado por una maza.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,idiófonos,,,
,gongo,gongo,m.,2,,batintín (‖ instrumento de percusión).,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,idiófonos,,,
,gorgorita,gorgorita,f.,1,,gorgorito (‖ quiebro de la voz). U. m. en pl.,Sustantivo,Música,Producto,Técnica y Expresión,Dimensión espaciotemporal,ornamentos melódicos,,AUTORIDADES (gorgoritas),
715,gorgoritear,gorgoritear,intr.,1,,Hacer gorgoritos (‖ quiebros de la voz).,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,,
716,gorgorito,gorgorito,m.,1,,"Quiebro que se hace con la voz en la garganta, especialmente al cantar. U. m. en pl.",Sustantivo,Música,Producto,Técnica y Expresión,Dimensión espaciotemporal,ornamentos melódicos,,,
,gorigori,gorigori,m.,1,coloq.,Canto lúgubre de los entierros.,Sustantivo,Música,Producto,Conceptos,Continentes,formas (connotaciones diastráticas o diafásicas),,"1988, España [Torrente Ballester, Gonzalo: Filomeno, a mi pesar. Memorias de un señorito descolocado]",
718,góspel,góspel,m.,1,,Música religiosa propia de las comunidades afronorteamericanas.,Sustantivo,Música,Producto,Conceptos,∅,estilos,,,
,gozadera,gozadera,f.,1,Cuba.,Fiesta bulliciosa con bebida y baile.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades no coreografiadas,,,
,grabación,grabación,f.,2,,Disco o cinta grabados con imágenes o sonidos.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,dispositivos grabación y reproducción,,,
,grabación,grabación,f.,1,,"Acción y efecto de grabar (‖ captar imágenes, sonidos o datos).",Sustantivo,Música,Producto/actividad,Conceptos,Continentes/[resultados],unidades/resultados,,,
,"grabador, ra","grabador, ra",f.,5,,magnetófono.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,dispositivos grabación y reproducción,,,
,"grabador, ra","grabador, ra",m.,4,Arg. y Ur.,magnetófono.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,dispositivos grabación y reproducción,,,
,"grabador, ra","grabador, ra",adj.,1,,Que graba. Instrumento grabador.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades dispositivos grabación y reproducción,,,
,grabar,grabar,tr.,3,,"Impresionar un disco, una cinta magnética u otro soporte. Grabar un disco. 
",Verbo,Música,Actividad,Conceptos,[evento],verbos de manipulación,,,
719,gradación,gradación,f.,4,Mús.,Período armónico que va subiendo de grado en grado para expresar más un afecto.,Sustantivo,Música,Producto,Conceptos,Dimensión espaciotemporal,tipos melódicos (derivadas estructurales),,,
,"gramofónico, ca","gramofónico, ca",adj.,1,,Perteneciente o relativo al gramófono.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades polivalentes,,,
,gramófono,gramófono,m.,1,,"Instrumento que reproduce las vibraciones de la voz humana o de otro cualquier sonido, inscritaspreviamente en un disco giratorio.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,dispositivos grabación y reproducción,,,
,gramola,gramola,f.,1,,Modalidad de gramófono sin bocina exterior.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,dispositivos grabación y reproducción,,,
,gramola,gramola,f.,3,,"Nombre industrial de ciertos gramófonos eléctricos, instalados por lo general en establecimientospúblicos y que, al depositar en ellos una moneda, hacen oír determinados discos.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,dispositivos grabación y reproducción,,,
,gramola,gramola,f.,2,,radiogramola.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,dispositivos grabación y reproducción,,,
720,"granadino2, na","granadino2, na",f.,5,,granaína.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,granaína,granaína,f.,1,,Palo flamenco cuyas estrofas constan de cuatro versos octosílabos.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,granaína,media granaína,f.,1,,Variedad de granaína.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,grave,grave,adj.,8,,"Dicho de un sonido: Que tiene una frecuencia baja de vibraciones, por oposición al sonido agudo. U. t. c. s. m. No me gustan los graves de esta grabación.",Adjetivo/Sustantivo,Música,Modificadores/producto,Conceptos,∅/Dimensión espacial,cualidades alturas/alturas,,,
,graznido,graznido,m.,2,,"Canto desigual y como gritando, que disuena mucho al oído y en cierto modo imita la voz del ganso.",Sustantivo,Música,Producto,Conceptos,Continentes,unidades (connotaciones diastráticas o diafásicas),,,
721,"gregoriano, na","gregoriano, na",adj.,1,,Perteneciente o relativo al canto religioso reformado por el papa Gregorio I.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades polivalentes,,,
722,grupeto,grupeto,m.,1,,"Adorno musical compuesto por cuatro notas; la superior a la nota real, la real misma, la inferior y la real de nuevo.",Sustantivo,Música,Producto,Técnica y Expresión,Dimensión espaciotemporal,ornamentos melódicos,,,
,grupo,grupo,m.,3,,"Conjunto de personas organizado para la interpretación de obras teatrales, musicales o coreográficas. Grupo de teatro ambulante. Grupo musical.",Sustantivo,Música,Actividad,Participantes,[agentes] productores,colectivos,,,
723,guabina,guabina,f.,2,Col.,Aire musical popular de la montaña.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
724,guaguancó,guaguancó,m.,1,Cuba y R. Dom.,Género musical popular con canto y baile.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
725,guaira,guaira,f.,3,Hond.,Instrumento de viento indígena compuesto de varias flautas.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
726,"guajiro, ra","guajiro, ra",f.,10,,Canto popular cubano de tema campesino.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,"guajiro, ra","guajiro, ra",f. ,11,,Palo flamenco procedente de la guajira cubana.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
727,guamo,guamo,m.,2,Cuba.,Instrumento de viento que hacían los indígenas con un cobo y que producía un sonido bronco que se oía a gran distancia.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
,guancasco,guancasco,m.,1,Hond.,"Convenio entre dos pueblos vecinos para celebrar visitas recíprocas de las imágenes del patrón, llevadas por las autoridades religiosas locales, acompañadas de músicos y de parte del pueblo.
Convenio entre dos pueblos vecinos para celebrar visitas recíprocas de las imágenes del patrón, llevadas por las autoridades religiosas locales, acompañadas de músicos y de parte del pueblo.
",Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
728,guaracha,guaracha,f.,2,"Cuba, Guat. y P. Rico.","Canción popular que acompaña la guaracha, de tema generalmente picaresco o satírico.",Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,guaracha,guaracha,f.,1,"Ant., Guat., Nic. y Pan.",Baile popular afroantillano en parejas.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
,"guarachero, ra","guarachero, ra",m. y f.,1,coloq. Cuba.,Persona que compone o canta guarachas.,Sustantivo,Música,Actividad,Participantes,[agentes] productores,creadores e intérpretes (connotaciones diastráticas o diafásicas),,,
,guarania,guarania,f.,1,,"Composición musical melodiosa y de ritmo lento y acompasado, propia del folclore paraguayo.",Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
,guateque,guateque,m.,3,Cuba.,Fiesta campesina en la que se canta y se baila,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades no coreografiadas,,,
,guateque,guateque,m.,1,,"Fiesta casera, generalmente de gente joven, en que se merienda y se baila",Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades no coreografiadas,,,
730,"guayado, da","guayado, da",adj.,1,,"Dicho de un cantar: Que tiene por estribillo ¡guay!, o ¡ay amor!",Adjetivo,Música,Modificadores,Conceptos,∅,cualidades formas,,,
,guayo2,guayo2,m.,2,Cuba y P. Rico,güiro (‖ instrumento musical).,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,idiófonos,,,
731,guía,guía,f.,17,Mús.,Voz que va delante en la fuga y a la cual siguen las demás.,Sustantivo,Música,Producto,Conceptos,Dimensión espaciotemporal,partes musicales,sujeto,,
732,"guineo, a","guineo, a",m.,3,,"Tañido o son del guineo, que se toca en la guitarra.",Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,"guineo, a","guineo, a",m.,2,,"Cierto baile de movimientos violentos y gestos cómicos, que era propio de la gente de raza negra.",Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades no coreografiadas,,,
,guion,guion,m.,8,,Persona que en las danzas guía la cuadrilla.,Sustantivo,Baile/Danza,Actividad,Participantes,[agentes] y [experimentadores],intérpretes,,,
733,guion,guion,m.,13,Mús.,"Nota o señal que se ponía al fin de la escala cuando no se podía seguir y había que volver a empezar, y denotaba el punto de la escala, línea o espacio en que se proseguía la solfa.",Sustantivo,Baile/Danza,Producto,Símbolos,Dimensión espacial,alturas,,,
,güipipía,güipipía,interj.,1,C. Rica,U. en los bailes folclóricos para expresar alegría. U. t. c. s. m.,Interjección/Sustantivo,Baile/Danza,Actividad,Conceptos,[evento],¿verbos de baile y danza? (Diana),,,
,"güirero, ra","güirero, ra",m. y f.,1,,Persona que toca el güiro (‖ instrumento musical).,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
,guirigay,guirigay,m.,1,,Gritería y confusión que resulta cuando varios hablan a la vez o cantan desordenadamente.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
734,güiro1,güiro1,m.,2,"Ant., C. Rica y Méx.",Instrumento musical popular que tiene como caja una calabaza de güiro.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,idiófonos,,,
,guitarra,guitarra,m. y f.,3,,Guitarrista,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
735,guitarra,guitarra,f.,1,,"Instrumento musical de cuerda compuesto por una caja de resonancia en forma de ocho, un mástil largo con trastes, y cuerdas, generalmente seis, que se hacen sonar con los dedos.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,cordófonos,,,
,guitarra,guitarra eléctrica,f.,1,,"Instrumento musical, derivado de la guitarra, en que la vibración de las cuerdas se recoge y amplifica mediante un equipo electrónico.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,electrófonos,,,
736,guitarreo,guitarreo,m.,1,,Toque de guitarra repetido o cansado.,Sustantivo,Música,Producto,Conceptos,Dimensión espaciotemporal,tipos melódicos (connotaciones diastráticas o diafásicas),,,
,guitarrería,guitarrería,f. ,1,,"Establecimiento donde se fabrican o venden guitarras, bandurrias, bandolines y laúdes.
Establecimiento donde se fabrican o venden guitarras, bandurrias, bandolines y laúdes.",Sustantivo,Música,Actividad,Objetos,[localizaciones],espacios,,,
,"guitarrero, ra","guitarrero, ra",m. y f.,1,,Persona que hace o vende guitarras.,Sustantivo,Música,Actividad,Participantes,[agentes] no productores,constructores,,,
,"guitarrero, ra","guitarrero, ra",m. y f.,2,,Persona que toca la guitarra.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
,"guitarresco, ca","guitarresco, ca",adj. coloq.,1,,Perteneciente o relativo a la guitarra.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades polivalentes (connotaciones diastráticas o diafásicas),,,
738,guitarrillo,guitarrillo,m.,2,,Guitarra pequeña de voces agudas.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,cordófonos,,,
737,guitarrillo,guitarrillo,m.,1,,"Instrumento musical de cuatro cuerdas, semejante a una guitarra muy pequeña.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,cordófonos,,,
,guitarrista,guitarrista,m. y f.,1,,Persona que toca la guitarra.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
739,guitarro,guitarro,m.,1,,Guitarra pequeña.,Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,cordófonos,,"2000, España [Beltrán Martínez, Antonio: Pueblos de Aragón II]",
740,guzla,guzla,f.,1,,"Instrumento de música de una sola cuerda de crin, a modo de rabel, característico de la región de Iliria.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,cordófonos,,,
,haba,habas verdes,f. pl.,1,,Canto y baile popular de Castilla y León.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
741,"habanero, ra","habanero, ra",f.,7,,Música y canto de la habanera.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades banalizadas,,,
,"habanero, ra","habanero, ra",f.,6,,"Baile de origen cubano, en compás de dos por cuatro y de movimiento lento.",Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades no coreografiadas,,,
742,hablar,hablar,intr.,16,,"U. para encarecer el modo de sonar un instrumento con gran arte y expresión. Toca la guitarra, que la hace hablar.",Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (connotaciones diastráticas o diafásicas),,Americanismo,
,hacha1,hacha1,f.,4,,Baile antiguo español.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
,heavy,heavy,adj.,2,,Perteneciente o relativo a la música heavy.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades polivalentes,,,
,heavy,heavy,adj.,3,,"Aficionado a la música heavy y seguidor de la estética, costumbres y actitudes asociados a ella. U. t. c. s.",Adjetivo/Sustantivo,Música,Modificadores/actividad,Conceptos/participantes,∅/[agentes] y [experimentadores],cualidades [experimentadores]/[experimentadores],,,
,heavy,heavy,adj.,1,,Dicho de un tipo de música: Que es una variedad de rock y se caracteriza por una ejecución enérgica y un ritmo rápido y repetitivo. U. t. c. s. m.,Adjetivo/Sustantivo,Música,Modificadores/producto,Conceptos,∅/Estilos,cualidades polivalentes/estilos,,,
,heavy metal,heavy metal,m.,1,,heavy (‖ variedad de rock).,Sustantivo,Música,Producto,Conceptos,∅,estilos,,,
743,helicón,helicón,m.,1,,"Instrumento musical de metal de grandes dimensiones, cuyo tubo, de forma circular, permite colocarlo alrededor del cuerpo y apoyarlo sobre el hombro de quien lo toca.",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,aerófonos,,,
744,heptacordo,heptacordo,m.,1,Mús.,"Gama o escala usual compuesta de las siete notas do, re, mi, fa, sol, la, si.",Sustantivo,Música,Producto,Conceptos,Dimensión espacial,escalas (grados),,,
745,heptacordo,heptacordo,m.,2,Mús.,Intervalo de séptima en la escala musical.,Sustantivo,Música,Producto,Sonido,Dimensión espacial,interválica,séptima (faltan séptima mayor y menor; sensible y subtónica),,
,herimiento,herimiento,m.,1,desus.,Acción y efecto de herir.,Sustantivo,Música,Producto/actividad,Conceptos,Continentes/[resultados],unidades/resultados,,Derivado no empleado en sentido musical,
747,herir,herir,tr.,7,,Hacer sonar una o varias notas.,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical,,,
746,herir,herir,tr.,5,,Tocar instrumentos de cuerda o pulsar teclas o algunos instrumentos metálicos.,Verbo,Música,Actividad,Conceptos,[evento],verbos de acción musical (específicos),,,
748,hexacordo,hexacordo,m.,1,Mús.,"Escala para canto llano compuesta de las seis primeras notas usuales, inventada en el siglo XI por Guido Aretino.",Sustantivo,Música,Producto,Sonido,Dimensión espacial,interválica,,,
749,hexacordo,hexacordo,m.,2,Mús.,Intervalo de sexta en la escala musical.,Sustantivo,Música,Producto,Sonido,Dimensión espacial,interválica,sexta,,
,hexacordo,hexacordo mayor,m.,1,,Intervalo que consta de cuatro tonos y un semitono.,Sustantivo,Música,Producto,Sonido,Dimensión espacial,interválica,sexta mayor,,
,hexacordo,hexacordo menor,m.,1,,Intervalo que consta de tres tonos y dos semitonos.,Sustantivo,Música,Producto,Sonido,Dimensión espacial,interválica,sexta menor,,
,hilo,hilo musical,m.,1,,"Sistema de transmisión del sonido por el cable telefónico, que permite oír programas musicales. 
",Sustantivo,Música,Actividad,Objetos,[instrumentos] y medios materiales,dispositivos grabación y reproducción,,,
750,himnario,himnario,m.,1,,Colección de himnos.,Sustantivo,Música,Producto/actividad,Objetos/Conceptos,[instrumentos] y medios materiales/continentes,recursos materiales/unidades ,,"1975, Cuba [Ortiz, Fernando: La música afrocubana]",
751,himno,himno,m.,4,,"Composición musical emblemática de una colectividad, que la identifica y que une entre sí a quienes la interpretan.",Sustantivo,Música,Producto,Conceptos,Continentes,formas/unidades,,,
,himno,himno,m.,3,,"Composición poética o musical cuyo objeto es exaltar a una persona, celebrar una victoria u otro suceso memorable o expresar júbilo o entusiasmo.",Sustantivo,Música,Producto,Conceptos,Continentes,unidades,,,
752,himnodia,himnodia,f.,1,,Canto litúrgico para los himnos.,Sustantivo,Música,Producto,Conceptos,Continentes,formas,,,
,hombre,hombre orquesta,m.,1,,hombre que lleva sobre sí un conjunto de instrumentos que toca simultáneamente como espectáculo.,Sustantivo,Música,Actividad,Participantes,[agentes] y [experimentadores],instrumentistas,,,
753,homofonía,homofonía,f.,2,Mús.,"Conjunto de voces que cantan al unísono, o de sonidos simultáneos.",Sustantivo,Música,Producto,Conceptos,Dimensión espaciotemporal,partes musicales (relaciones entre ellas),,,
754,"homófono, na","homófono, na",adj.,2,Mús.,Dicho del canto o de la música: Caracterizado por que en él todas las voces tienen el mismo sonido.,Adjetivo,Música,Modificadores,Conceptos,∅,cualidades estilos,,,
755,hosanna,hosanna,m.,2,,Himno que se canta el Domingo de Ramos.,Sustantivo,Música,Producto,Conceptos,Dimensión espaciotemporal,melodías individuadas,,,
,house,house,,,,acid house,,Música,Producto,Conceptos,∅,estilos,,,
756,huaiño,huaiño,m.,2,Bol.,Música con que se acompaña el huaiño.,Sustantivo,Música,Producto,Conceptos,Continentes,unidades banalizadas,,,
,huaiño,huaiño,m.,1,,Baile popular de la región andina.,Sustantivo,Baile/Danza,Producto,Conceptos,Continentes,unidades coreografiadas,,,
